reference_id,type,author,author_roman,year,title,journal,volume,issue,pages,DOI,URL,language,importance,locality,have,read,notes
REF00148,journal,平田 国雄,"Hirata, K.",1958,天に供した燃島産半化石151種の目録,鹿児島貝類同好会報 季刊,7,"3,4",32–41,#N/A,,Japanese,1,,y,n,
REF00149,journal,肥後 俊一,,1958,第四回. 昆虫貝類展貝類審査概評,鹿児島貝類同好会報 季刊,7,"3,4",41–44,#N/A,,Japanese,2,,y,n,
REF00150,journal,肥後 俊一,,1959,鹿兒島県貝類目錄 别綴 [1],,,,,#N/A,,Japanese,1,,n,n,
REF00151,journal,奥谷 喬司,"Okutani, T.",1959,"わが国近海の有設翼足類の分類と生態 Euthecosomatous Pteropods in the
Neighbouring Waters of Japan",鹿児島貝類同好会報 季刊,8,"1,2",1–11,#N/A,,Japanese,3,,y,n,
REF00152,journal,白井祥平,,1959,真珠養殖に関する諸問題 (3),鹿児島貝類同好会報 季刊,8,"1,2",12–15,#N/A,,Japanese,5,県外,y,n,
REF00153,journal,白井祥平,,1959,最近の奄美大島の貝類について,鹿児島貝類同好会報 季刊,8,"1,2",15–19,#N/A,,Japanese,1,奄美大島,y,n,
REF00154,journal,宿屋 壽,,1959,フジノハナガイの殻色分類,鹿児島貝類同好会報 季刊,8,"1,2",19–21,#N/A,,Japanese,5,県外,y,n,
REF00155,journal,上原 二郎,,1959,鹿兒島市磯～花倉海岸の貝類相,鹿児島貝類同好会報 季刊,8,"1,2",22–26,#N/A,,Japanese,1,,y,n,
REF00156,journal,堀川 安市,,1959,分布資料,鹿児島貝類同好会報 季刊,8,"1,2",26–27,#N/A,,Japanese,5,県外,y,n,
REF00157,journal,畠中 一,,1959,鹿兒島じまん,鹿児島貝類同好会報 季刊,8,"1,2",28–29,#N/A,,Japanese,2,,y,n,
REF00158,journal,波部 忠重,"Habe, T.",1943,,海洋学誌,2,4,,#N/A,,Japanese,,鹿児島湾,n,n,
REF00159,journal,宇都野 新太郎,"Utsuno, S.",,磯、花倉の海岸動物に就て,鹿児島高等農林学校博物同志会報,3,11,,#N/A,,Japanese,,,y,n,
REF00160,journal,宇都野 新太郎,"Utsuno, S.",,鹿児島湾産頭足類目録,貝類研究雑誌ヴイナス,3,4,,#N/A,,Japanese,,,y,n,
REF00161,journal,宇都野 新太郎,"Utsuno, S.",,鹿児島湾産動物雑記 I,,,,,#N/A,,Japanese,,鹿児島湾,y,n,
REF00162,journal,宇都野 新太郎,"Utsuno, S.",,鹿児島湾産動物雑記 III,,,,,#N/A,,Japanese,,鹿児島湾,y,n,
REF00163,journal,宇都野 新太郎,"Utsuno, S.",,鹿児島湾産動物雑記 III,,,,,#N/A,,Japanese,,鹿児島湾,y,n,
REF00164,journal,黒田 徳米,"Kuroda, T.",1959,串木野周辺部にカワザンショウガイ類7種,鹿児島貝類同好会報 季刊,8,"3,4",1–2,#N/A,,Japanese,1,,y,n,
REF00165,journal,金丸 但馬,,1959,クチブトという蛤の碁石,鹿児島貝類同好会報 季刊,8,"3,4",2–3,#N/A,,Japanese,5,県外,y,n,
REF00166,journal,野澤 洽治,,1959,アサクサノリの巣状と貝敷,鹿児島貝類同好会報 季刊,8,"3,4",3–7,#N/A,,Japanese,5,県外,y,n,
REF00167,journal,川辺 盛幹,,1959,貝を尋ねて幾百里,鹿児島貝類同好会報 季刊,8,"3,4",7–13,#N/A,,Japanese,1,,y,n,
REF00168,journal,波部 忠重,"Habe, T.",1960,A. A. Gould 鹿児島から記載した種類に就いて,鹿児島貝類同好会報 季刊,9,"3,4",1–5,#N/A,,Japanese,1,,y,n,
